Port No,1
Carrier ID,005350860000IMEC
Slot No,6
Lot ID,E222056-7226
Sample ID,Slot06
Recipe ID,PLINE200\PATTERN\A-B-C\CUOXBOND\ICPAD_5_270

Tip Port No,1
Tip Cassette ID,Cassette1
Tip Slot No,1

Site ID,Site X,Site Y,Point No,X (um),Y (um),Method ID,State,FileName,Date,Tilt
0001_X000_Y000,0,0,1,74.92000000000007,-106.80999999999995,ICPAD,COMPLETED,E222056-7226_Slot06_ICPAD_0001_X000_Y000_0001,2022/05/23 05:03:39,38_CENTER
0002_X007_Y000,7,0,1,72258.91999999998,-106.80999999999995,ICPAD,COMPLETED,E222056-7226_Slot06_ICPAD_0002_X007_Y000_0001,2022/05/23 05:06:52,38_CENTER
0003_X000_Y012,0,12,1,74.92000000000007,81493.19,ICPAD,COMPLETED,E222056-7226_Slot06_ICPAD_0003_X000_Y012_0001,2022/05/23 05:10:06,38_CENTER
0004_X-007_Y000,-7,0,1,-72109.08,-106.80999999999995,ICPAD,COMPLETED,E222056-7226_Slot06_ICPAD_0004_X-007_Y000_0001,2022/05/23 05:13:20,38_CENTER
0005_X000_Y-012,0,-12,1,74.92000000000007,-81706.80999999998,ICPAD,COMPLETED,E222056-7226_Slot06_ICPAD_0005_X000_Y-012_0001,2022/05/23 05:16:34,38_CENTER
